# dataset from http://archive.ics.uci.edu/ml/datasets/Balance+Scale
#
# outcome is class_name attribute
# 
# fields are as follows
# 1. Class Name: 3 (L, B, R)
# 2. Left-Weight: 5 (1, 2, 3, 4, 5)
# 3. Left-Distance: 5 (1, 2, 3, 4, 5)
# 4. Right-Weight: 5 (1, 2, 3, 4, 5)
# 5. Right-Distance: 5 (1, 2, 3, 4, 5)
id,class_name,left_distance,right_weight,right_distance
127,B,2,1,1,2
128,R,2,1,1,3
129,R,2,1,1,4
130,R,2,1,1,5
131,B,2,1,2,1
132,R,2,1,2,2
133,R,2,1,2,3
134,R,2,1,2,4
135,R,2,1,2,5
136,R,2,1,3,1
137,R,2,1,3,2
138,R,2,1,3,3
139,R,2,1,3,4
140,R,2,1,3,5
141,R,2,1,4,1
142,R,2,1,4,2
143,R,2,1,4,3
144,R,2,1,4,4
145,R,2,1,4,5
146,R,2,1,5,1
147,R,2,1,5,2
148,R,2,1,5,3
149,R,2,1,5,4
150,R,2,1,5,5
151,L,2,2,1,1
152,L,2,2,1,2
153,L,2,2,1,3
154,B,2,2,1,4
155,R,2,2,1,5
156,L,2,2,2,1
157,B,2,2,2,2
158,R,2,2,2,3
159,R,2,2,2,4
160,R,2,2,2,5
161,L,2,2,3,1
162,R,2,2,3,2
163,R,2,2,3,3
164,R,2,2,3,4
165,R,2,2,3,5
166,B,2,2,4,1
167,R,2,2,4,2
168,R,2,2,4,3
169,R,2,2,4,4
170,R,2,2,4,5
171,R,2,2,5,1
172,R,2,2,5,2
173,R,2,2,5,3
174,R,2,2,5,4
175,R,2,2,5,5
176,L,2,3,1,1
177,L,2,3,1,2
178,L,2,3,1,3
179,L,2,3,1,4
180,L,2,3,1,5
181,L,2,3,2,1
182,L,2,3,2,2
183,B,2,3,2,3
184,R,2,3,2,4
185,R,2,3,2,5
186,L,2,3,3,1
187,B,2,3,3,2
188,R,2,3,3,3
189,R,2,3,3,4
190,R,2,3,3,5
191,L,2,3,4,1
192,R,2,3,4,2
193,R,2,3,4,3
194,R,2,3,4,4
195,R,2,3,4,5
196,L,2,3,5,1
197,R,2,3,5,2
198,R,2,3,5,3
199,R,2,3,5,4
200,R,2,3,5,5
201,L,2,4,1,1
202,L,2,4,1,2
203,L,2,4,1,3
204,L,2,4,1,4
205,L,2,4,1,5
206,L,2,4,2,1
207,L,2,4,2,2
208,L,2,4,2,3
209,B,2,4,2,4
210,R,2,4,2,5
211,L,2,4,3,1
212,L,2,4,3,2
213,R,2,4,3,3
214,R,2,4,3,4
215,R,2,4,3,5
216,L,2,4,4,1
217,B,2,4,4,2
218,R,2,4,4,3
219,R,2,4,4,4
220,R,2,4,4,5
221,L,2,4,5,1
222,R,2,4,5,2
223,R,2,4,5,3
224,R,2,4,5,4
225,R,2,4,5,5
226,L,2,5,1,1
227,L,2,5,1,2
228,L,2,5,1,3
229,L,2,5,1,4
230,L,2,5,1,5
231,L,2,5,2,1
232,L,2,5,2,2
233,L,2,5,2,3
234,L,2,5,2,4
235,B,2,5,2,5
236,L,2,5,3,1
237,L,2,5,3,2
238,L,2,5,3,3
239,R,2,5,3,4
240,R,2,5,3,5
241,L,2,5,4,1
242,L,2,5,4,2
243,R,2,5,4,3
244,R,2,5,4,4
245,R,2,5,4,5
246,L,2,5,5,1
247,B,2,5,5,2
248,R,2,5,5,3
249,R,2,5,5,4
250,R,2,5,5,5
251,L,3,1,1,1
252,L,3,1,1,2
253,B,3,1,1,3
254,R,3,1,1,4
255,R,3,1,1,5
256,L,3,1,2,1
257,R,3,1,2,2
258,R,3,1,2,3
259,R,3,1,2,4
260,R,3,1,2,5
261,B,3,1,3,1
262,R,3,1,3,2
263,R,3,1,3,3
264,R,3,1,3,4
265,R,3,1,3,5
266,R,3,1,4,1
267,R,3,1,4,2
268,R,3,1,4,3
269,R,3,1,4,4
270,R,3,1,4,5
271,R,3,1,5,1
272,R,3,1,5,2
273,R,3,1,5,3
274,R,3,1,5,4
275,R,3,1,5,5
276,L,3,2,1,1
277,L,3,2,1,2
278,L,3,2,1,3
279,L,3,2,1,4
280,L,3,2,1,5
281,L,3,2,2,1
282,L,3,2,2,2
283,B,3,2,2,3
284,R,3,2,2,4
285,R,3,2,2,5
286,L,3,2,3,1
287,B,3,2,3,2
288,R,3,2,3,3
289,R,3,2,3,4
290,R,3,2,3,5
291,L,3,2,4,1
292,R,3,2,4,2
293,R,3,2,4,3
294,R,3,2,4,4
295,R,3,2,4,5
296,L,3,2,5,1
297,R,3,2,5,2
298,R,3,2,5,3
299,R,3,2,5,4
300,R,3,2,5,5
301,L,3,3,1,1
302,L,3,3,1,2
303,L,3,3,1,3
304,L,3,3,1,4
305,L,3,3,1,5
306,L,3,3,2,1
307,L,3,3,2,2
308,L,3,3,2,3
309,L,3,3,2,4
310,R,3,3,2,5
311,L,3,3,3,1
312,L,3,3,3,2
313,B,3,3,3,3
314,R,3,3,3,4
315,R,3,3,3,5
316,L,3,3,4,1
317,L,3,3,4,2
318,R,3,3,4,3
319,R,3,3,4,4
320,R,3,3,4,5
321,L,3,3,5,1
322,R,3,3,5,2
323,R,3,3,5,3
324,R,3,3,5,4
325,R,3,3,5,5
326,L,3,4,1,1
327,L,3,4,1,2
328,L,3,4,1,3
329,L,3,4,1,4
330,L,3,4,1,5
331,L,3,4,2,1
332,L,3,4,2,2
333,L,3,4,2,3
334,L,3,4,2,4
335,L,3,4,2,5
336,L,3,4,3,1
337,L,3,4,3,2
338,L,3,4,3,3
339,B,3,4,3,4
340,R,3,4,3,5
341,L,3,4,4,1
342,L,3,4,4,2
343,B,3,4,4,3
344,R,3,4,4,4
345,R,3,4,4,5
346,L,3,4,5,1
347,L,3,4,5,2
348,R,3,4,5,3
349,R,3,4,5,4
350,R,3,4,5,5
351,L,3,5,1,1
352,L,3,5,1,2
353,L,3,5,1,3
354,L,3,5,1,4
355,L,3,5,1,5
356,L,3,5,2,1
357,L,3,5,2,2
358,L,3,5,2,3
359,L,3,5,2,4
360,L,3,5,2,5
361,L,3,5,3,1
362,L,3,5,3,2
363,L,3,5,3,3
364,L,3,5,3,4
365,B,3,5,3,5
366,L,3,5,4,1
367,L,3,5,4,2
368,L,3,5,4,3
369,R,3,5,4,4
370,R,3,5,4,5
371,L,3,5,5,1
372,L,3,5,5,2
373,B,3,5,5,3
374,R,3,5,5,4
375,R,3,5,5,5
376,L,4,1,1,1
377,L,4,1,1,2
378,L,4,1,1,3
379,B,4,1,1,4
380,R,4,1,1,5
381,L,4,1,2,1
382,B,4,1,2,2
383,R,4,1,2,3
384,R,4,1,2,4
385,R,4,1,2,5
386,L,4,1,3,1
387,R,4,1,3,2
388,R,4,1,3,3
389,R,4,1,3,4
390,R,4,1,3,5
391,B,4,1,4,1
392,R,4,1,4,2
393,R,4,1,4,3
394,R,4,1,4,4
395,R,4,1,4,5
396,R,4,1,5,1
397,R,4,1,5,2
398,R,4,1,5,3
399,R,4,1,5,4
400,R,4,1,5,5
401,L,4,2,1,1
402,L,4,2,1,2
403,L,4,2,1,3
404,L,4,2,1,4
405,L,4,2,1,5
406,L,4,2,2,1
407,L,4,2,2,2
408,L,4,2,2,3
409,B,4,2,2,4
410,R,4,2,2,5
411,L,4,2,3,1
412,L,4,2,3,2
413,R,4,2,3,3
414,R,4,2,3,4
415,R,4,2,3,5
416,L,4,2,4,1
417,B,4,2,4,2
418,R,4,2,4,3
419,R,4,2,4,4
420,R,4,2,4,5
421,L,4,2,5,1
422,R,4,2,5,2
423,R,4,2,5,3
424,R,4,2,5,4
425,R,4,2,5,5
426,L,4,3,1,1
427,L,4,3,1,2
428,L,4,3,1,3
429,L,4,3,1,4
430,L,4,3,1,5
431,L,4,3,2,1
432,L,4,3,2,2
433,L,4,3,2,3
434,L,4,3,2,4
435,L,4,3,2,5
436,L,4,3,3,1
437,L,4,3,3,2
438,L,4,3,3,3
439,B,4,3,3,4
440,R,4,3,3,5
441,L,4,3,4,1
442,L,4,3,4,2
443,B,4,3,4,3
444,R,4,3,4,4
445,R,4,3,4,5
446,L,4,3,5,1
447,L,4,3,5,2
448,R,4,3,5,3
449,R,4,3,5,4
450,R,4,3,5,5
451,L,4,4,1,1
452,L,4,4,1,2
453,L,4,4,1,3
454,L,4,4,1,4
455,L,4,4,1,5
456,L,4,4,2,1
457,L,4,4,2,2
458,L,4,4,2,3
459,L,4,4,2,4
460,L,4,4,2,5
461,L,4,4,3,1
462,L,4,4,3,2
463,L,4,4,3,3
464,L,4,4,3,4
465,L,4,4,3,5
466,L,4,4,4,1
467,L,4,4,4,2
468,L,4,4,4,3
469,B,4,4,4,4
470,R,4,4,4,5
471,L,4,4,5,1
472,L,4,4,5,2
473,L,4,4,5,3
474,R,4,4,5,4
475,R,4,4,5,5
476,L,4,5,1,1
477,L,4,5,1,2
478,L,4,5,1,3
479,L,4,5,1,4
480,L,4,5,1,5
481,L,4,5,2,1
482,L,4,5,2,2
483,L,4,5,2,3
484,L,4,5,2,4
485,L,4,5,2,5
486,L,4,5,3,1
487,L,4,5,3,2
488,L,4,5,3,3
489,L,4,5,3,4
490,L,4,5,3,5
491,L,4,5,4,1
492,L,4,5,4,2
493,L,4,5,4,3
494,L,4,5,4,4
495,B,4,5,4,5
496,L,4,5,5,1
497,L,4,5,5,2
498,L,4,5,5,3
499,B,4,5,5,4
500,R,4,5,5,5
501,L,5,1,1,1
502,L,5,1,1,2
503,L,5,1,1,3
504,L,5,1,1,4
505,B,5,1,1,5
506,L,5,1,2,1
507,L,5,1,2,2
508,R,5,1,2,3
509,R,5,1,2,4
510,R,5,1,2,5
511,L,5,1,3,1
512,R,5,1,3,2
513,R,5,1,3,3
514,R,5,1,3,4
515,R,5,1,3,5
516,L,5,1,4,1
517,R,5,1,4,2
518,R,5,1,4,3
519,R,5,1,4,4
520,R,5,1,4,5
521,B,5,1,5,1
522,R,5,1,5,2
523,R,5,1,5,3
524,R,5,1,5,4
525,R,5,1,5,5
526,L,5,2,1,1
527,L,5,2,1,2
528,L,5,2,1,3
529,L,5,2,1,4
530,L,5,2,1,5
531,L,5,2,2,1
532,L,5,2,2,2
533,L,5,2,2,3
534,L,5,2,2,4
535,B,5,2,2,5
536,L,5,2,3,1
537,L,5,2,3,2
538,L,5,2,3,3
539,R,5,2,3,4
540,R,5,2,3,5
541,L,5,2,4,1
542,L,5,2,4,2
543,R,5,2,4,3
544,R,5,2,4,4
545,R,5,2,4,5
546,L,5,2,5,1
547,B,5,2,5,2
548,R,5,2,5,3
549,R,5,2,5,4
550,R,5,2,5,5
551,L,5,3,1,1
552,L,5,3,1,2
553,L,5,3,1,3
554,L,5,3,1,4
555,L,5,3,1,5
556,L,5,3,2,1
557,L,5,3,2,2
558,L,5,3,2,3
559,L,5,3,2,4
560,L,5,3,2,5
561,L,5,3,3,1
562,L,5,3,3,2
563,L,5,3,3,3
564,L,5,3,3,4
565,B,5,3,3,5
566,L,5,3,4,1
567,L,5,3,4,2
568,L,5,3,4,3
569,R,5,3,4,4
570,R,5,3,4,5
571,L,5,3,5,1
572,L,5,3,5,2
573,B,5,3,5,3
574,R,5,3,5,4
575,R,5,3,5,5
576,L,5,4,1,1
577,L,5,4,1,2
578,L,5,4,1,3
579,L,5,4,1,4
580,L,5,4,1,5
581,L,5,4,2,1
582,L,5,4,2,2
583,L,5,4,2,3
584,L,5,4,2,4
585,L,5,4,2,5
586,L,5,4,3,1
587,L,5,4,3,2
588,L,5,4,3,3
589,L,5,4,3,4
590,L,5,4,3,5
591,L,5,4,4,1
592,L,5,4,4,2
593,L,5,4,4,3
594,L,5,4,4,4
595,B,5,4,4,5
596,L,5,4,5,1
597,L,5,4,5,2
598,L,5,4,5,3
599,B,5,4,5,4
600,R,5,4,5,5
601,L,5,5,1,1
602,L,5,5,1,2
603,L,5,5,1,3
604,L,5,5,1,4
605,L,5,5,1,5
606,L,5,5,2,1
607,L,5,5,2,2
608,L,5,5,2,3
609,L,5,5,2,4
610,L,5,5,2,5
611,L,5,5,3,1
612,L,5,5,3,2
613,L,5,5,3,3
614,L,5,5,3,4
615,L,5,5,3,5
616,L,5,5,4,1
617,L,5,5,4,2
618,L,5,5,4,3
619,L,5,5,4,4
620,L,5,5,4,5
621,L,5,5,5,1
622,L,5,5,5,2
623,L,5,5,5,3
624,L,5,5,5,4
625,B,5,5,5,5
